"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene.stable.ID","Gene.stable.ID.version","Transcript.stable.ID","Transcript.stable.ID.version","Gene.description","Gene.type","MGI.symbol"
"1","1417574_at",0.456897496905023,9.02278653733567,4.32306661858155,0.000190478406734818,0.00198097543004211,0.0562433645454314,"ENSMUSG00000061353","ENSMUSG00000061353.12","ENSMUST00000073043","ENSMUST00000073043.5","chemokine.(C-X-C.motif).ligand.12.[Source:MGI.Symbol;Acc:MGI:103556]","protein_coding","Cxcl12"
"3","1417625_s_at",0.914880557204141,8.80191165327968,8.42392809747639,5.27917927254901e-09,2.74517322172548e-07,10.5469210954217,"ENSMUSG00000044337","ENSMUSG00000044337.6","ENSMUST00000065587","ENSMUST00000065587.5","atypical.chemokine.receptor.3.[Source:MGI.Symbol;Acc:MGI:109562]","protein_coding","Ackr3"
"4","1417789_at",-0.52347001632304,6.28121632882995,-6.40050443001406,7.73783343981633e-07,2.01183669435225e-05,5.5350552008173,"ENSMUSG00000020676","ENSMUSG00000020676.3","ENSMUST00000000342","ENSMUST00000000342.3","chemokine.(C-C.motif).ligand.11.[Source:MGI.Symbol;Acc:MGI:103576]","protein_coding","Ccl11"
"5","1417936_at",-0.861806407799178,6.92489719923807,-10.142924555875,1.15613762222452e-10,1.2023831271135e-08,14.388033789353,"ENSMUSG00000019122","ENSMUSG00000019122.9","ENSMUST00000019266","ENSMUST00000019266.6","chemokine.(C-C.motif).ligand.9.[Source:MGI.Symbol;Acc:MGI:104533]","protein_coding","Ccl9"
"7","1418456_a_at",0.313969699124284,7.33795795030802,2.89174734204809,0.00751783669803143,0.0488659385372043,-3.49459103975023,"ENSMUSG00000021508","ENSMUSG00000021508.12","ENSMUST00000021970","ENSMUST00000021970.11","chemokine.(C-X-C.motif).ligand.14.[Source:MGI.Symbol;Acc:MGI:1888514]","protein_coding","Cxcl14"
"9","1418457_at",0.468813882509421,7.42417308952334,4.10301989915626,0.000341626567575,0.00322992391161819,-0.517064302004735,"ENSMUSG00000021508","ENSMUSG00000021508.12","ENSMUST00000021970","ENSMUST00000021970.11","chemokine.(C-X-C.motif).ligand.14.[Source:MGI.Symbol;Acc:MGI:1888514]","protein_coding","Cxcl14"
"11","1419209_at",-0.27191989306323,6.14809795583368,-2.99836797973634,0.00580215381981005,0.0402282664840164,-3.25022914084138,"ENSMUSG00000029380","ENSMUSG00000029380.12","ENSMUST00000201245","ENSMUST00000201245.2","chemokine.(C-X-C.motif).ligand.1.[Source:MGI.Symbol;Acc:MGI:108068]","protein_coding","Cxcl1"
"13","1419426_s_at",-0.546123270551894,7.17055327989205,-4.93747903012517,3.6868582979867e-05,0.00054776180427231,1.67865662464251,"ENSMUSG00000095675","ENSMUSG00000095675.3","ENSMUST00000178864","ENSMUST00000178864.3","chemokine.(C-C.motif).ligand.21B.(leucine).[Source:MGI.Symbol;Acc:MGI:1349182]","protein_coding","Ccl21b"
"18","1419609_at",-0.289242100263792,6.42263635141921,-3.00707191702423,0.00567990507377118,0.0402282664840164,-3.23008537264811,"ENSMUSG00000025804","ENSMUSG00000025804.6","ENSMUST00000026911","ENSMUST00000026911.6","chemokine.(C-C.motif).receptor.1.[Source:MGI.Symbol;Acc:MGI:104618]","protein_coding","Ccr1"
"19","1421186_at",-0.376160712211145,6.23357190408495,-4.47867397014138,0.000125791660619841,0.00145359252271816,0.464785964382793,"ENSMUSG00000049103","ENSMUSG00000049103.15","ENSMUST00000168841","ENSMUST00000168841.3","chemokine.(C-C.motif).receptor.2.[Source:MGI.Symbol;Acc:MGI:106185]","protein_coding","Ccr2"
