"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene.stable.ID","Gene.stable.ID.version","Transcript.stable.ID","Transcript.stable.ID.version","Gene.description","Gene.type","MGI.symbol"
"1","1415803_at",-0.277689467956405,6.78736778382619,-3.58757531404456,0.00131597166546871,0.0114050877673954,-1.73162144069403,"ENSMUSG00000031778","ENSMUSG00000031778.14","ENSMUST00000034230","ENSMUST00000034230.7","chemokine.(C-X3-C.motif).ligand.1.[Source:MGI.Symbol;Acc:MGI:1097153]","protein_coding","Cx3cl1"
"2","1417266_at",-0.542438889467787,6.6479250125386,-6.82067092682591,2.63747939947682e-07,6.85744643863974e-06,6.69297936372998,"ENSMUSG00000018927","ENSMUSG00000018927.4","ENSMUST00000138145","ENSMUST00000138145.2","chemokine.(C-C.motif).ligand.6.[Source:MGI.Symbol;Acc:MGI:98263]","protein_coding","Ccl6"
"5","1417574_at",0.518512040728442,9.02278653733567,4.90605028434132,4.01038045995455e-05,0.000521349459794092,1.68683079549347,"ENSMUSG00000061353","ENSMUSG00000061353.12","ENSMUST00000112871","ENSMUST00000112871.8","chemokine.(C-X-C.motif).ligand.12.[Source:MGI.Symbol;Acc:MGI:103556]","protein_coding","Cxcl12"
"7","1417789_at",-0.30888471506541,6.28121632882995,-3.77675497257086,0.000805489900694838,0.00837709496722631,-1.25652578008627,"ENSMUSG00000020676","ENSMUSG00000020676.3","ENSMUST00000000342","ENSMUST00000000342.3","chemokine.(C-C.motif).ligand.11.[Source:MGI.Symbol;Acc:MGI:103576]","protein_coding","Ccl11"
"8","1417936_at",-0.774970519598515,6.92489719923807,-9.12092024633296,1.07013811973553e-09,1.11294364452495e-07,12.2083851579066,"ENSMUSG00000019122","ENSMUSG00000019122.9","ENSMUST00000136131","ENSMUST00000136131.2","chemokine.(C-C.motif).ligand.9.[Source:MGI.Symbol;Acc:MGI:104533]","protein_coding","Ccl9"
"10","1418456_a_at",0.536270683766095,7.33795795030802,4.93920059395622,3.66991170740841e-05,0.000521349459794092,1.77462463896381,"ENSMUSG00000021508","ENSMUSG00000021508.12","ENSMUST00000224801","ENSMUST00000224801.2","chemokine.(C-X-C.motif).ligand.14.[Source:MGI.Symbol;Acc:MGI:1888514]","protein_coding","Cxcl14"
"12","1418457_at",0.682162507836557,7.42417308952334,5.97022922855849,2.37305457325299e-06,4.93595351236623e-05,4.49732854962869,"ENSMUSG00000021508","ENSMUSG00000021508.12","ENSMUST00000021970","ENSMUST00000021970.11","chemokine.(C-X-C.motif).ligand.14.[Source:MGI.Symbol;Acc:MGI:1888514]","protein_coding","Cxcl14"
"14","1418777_at",-0.434830292331701,7.17346613365296,-5.05428806794203,2.69736603187443e-05,0.000467543445524901,2.07955100731552,"ENSMUSG00000023235","ENSMUSG00000023235.15","ENSMUST00000024004","ENSMUST00000024004.9","chemokine.(C-C.motif).ligand.25.[Source:MGI.Symbol;Acc:MGI:1099448]","protein_coding","Ccl25"
"17","1419609_at",-0.351480326206818,6.42263635141921,-3.65412440775083,0.00110797804829738,0.0104754288202661,-1.56539559483501,"ENSMUSG00000025804","ENSMUSG00000025804.6","ENSMUST00000026911","ENSMUST00000026911.6","chemokine.(C-C.motif).receptor.1.[Source:MGI.Symbol;Acc:MGI:104618]","protein_coding","Ccr1"
"18","1420249_s_at",-0.339151997218897,6.2549419163692,-4.2387955928815,0.00023833462785886,0.00275408903303572,-0.068715204726371,"ENSMUSG00000018927","ENSMUSG00000018927.4","ENSMUST00000019071","ENSMUST00000019071.4","chemokine.(C-C.motif).ligand.6.[Source:MGI.Symbol;Acc:MGI:98263]","protein_coding","Ccl6"
"20","1421404_at",-0.60019736393823,6.61761769187622,-7.18528973523321,1.05340509825606e-07,3.65180434062101e-06,7.61179454363342,"ENSMUSG00000029375","ENSMUSG00000029375.7","ENSMUST00000031322","ENSMUST00000031322.7","chemokine.(C-X-C.motif).ligand.15.[Source:MGI.Symbol;Acc:MGI:1339941]","protein_coding","Cxcl15"
"21","1448898_at",-0.839578647541017,6.72665847960016,-7.47375960532247,5.15470109805012e-08,2.68044457098606e-06,8.3276305887648,"ENSMUSG00000019122","ENSMUSG00000019122.9","ENSMUST00000019266","ENSMUST00000019266.6","chemokine.(C-C.motif).ligand.9.[Source:MGI.Symbol;Acc:MGI:104533]","protein_coding","Ccl9"
