"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3747","1451613_at",-5.75501937199587,6.96856923871102,-78.9040093626282,2.5319512268506e-27,1.65108539502927e-23,49.4210000014834
"2510","1420358_at",-4.68811424493282,6.5153352273491,-56.9194968384656,2.23725627861167e-24,7.29457409641336e-21,44.5130554929097
"2024","1450633_at",-4.65775410000892,7.42994063268637,-50.7054185629762,2.45537143531717e-23,5.33715904323443e-20,42.5632634974504
"3626","1449986_at",-5.05004639764956,6.49348880080405,-44.4018128666063,3.82401087127672e-22,6.23409372289888e-19,40.214683078246
"3098","1419709_at",-3.49918025946235,7.27984122129247,-41.2729254841124,1.72811606796935e-21,2.25380897584563e-18,38.8791961877501
"3597","1433923_at",-3.59039856016764,6.87127047830071,-35.9085472669327,3.03722394140585e-20,3.30095622031793e-17,36.2656106961377
"318","1417256_at",-2.72908357551099,6.55880757226874,-35.2983528358823,4.31901201612139e-20,4.02346819387537e-17,35.9384953323372
"2722","1420183_at",-3.38541515039516,8.33271825114937,-34.5307409268327,6.78291381474661e-20,5.52892262324533e-17,35.517344605694
"2562","1421575_at",-3.35057533371934,6.26949994869982,-34.0444575043534,9.07393827399405e-20,6.57457238719058e-17,35.2448026224018
"1398","1422682_s_at",-2.71243094482891,6.79405357638041,-30.6099049406909,8.0048464142058e-19,5.2199603467036e-16,33.1818828469437
"2468","1429457_at",-2.26112803376644,6.89060090182654,-25.9522871787833,2.30349390834988e-17,1.36555307057723e-14,29.9281018755515
"6394","1422749_at",-2.49687097258154,6.75762905451371,-25.2392907622398,4.04928824136747e-17,2.20045071849644e-14,29.3746761613016
"3049","1451336_at",-2.20668636729407,7.32783798046747,-25.0991612392056,4.53202735166809e-17,2.27333464309443e-14,29.2639658290591
"1940","1419215_at",-2.50904483401713,6.67238179088844,-24.6155465347062,6.7157521460771e-17,3.12810141032634e-14,28.8768302148058
"3839","1435760_at",-2.00205998969311,6.53209470752779,-24.5239491621758,7.24100186816483e-17,3.14790487882019e-14,28.8026089671256
"1202","1453092_at",-2.40041722409132,7.1821698101276,-24.1386009623613,9.96889939549665e-17,4.0629495598771e-14,28.4871613862412
"3316","1429540_at",-2.10069666338405,6.68856272488849,-24.0141967552559,1.10640718861753e-16,4.24066908175732e-14,28.3842036111334
"3563","1449500_at",-2.44927709916261,6.4974205511959,-23.9471770631118,1.17055732972906e-16,4.24066908175732e-14,28.3285079696558
"2079","1452732_at",-3.1497758149902,7.29723433657892,-22.9625005600319,2.72632979357475e-16,8.73490988019672e-14,27.4911353315663
"4764","1422908_at",-2.06938310988781,7.14742120930635,-22.9413852675385,2.77722715310912e-16,8.73490988019672e-14,27.4727773727154
"3457","1429297_at",-2.46537393631022,6.60827730820062,-22.9268016843531,2.81295978353214e-16,8.73490988019672e-14,27.460088094415
"4359","1451441_at",-2.07553484513105,6.83891528954998,-22.4022992008282,4.47768139103127e-16,1.32722547049613e-13,26.9981594025293
"5288","1422454_at",-2.59986432729175,6.67087973584463,-22.0574033075652,6.11228587724354e-16,1.73296592197848e-13,26.6883870537377
"758","1418438_at",-2.05655795708784,7.17081977873167,-21.4912671744756,1.02879024203441e-15,2.79530882012767e-13,26.1691626707751
"3852","1458367_at",-1.99942030252097,6.70147762463514,-21.0847214364443,1.50697180348764e-15,3.93078525221715e-13,25.7877850345901
"3347","1419731_at",-1.62340221076105,6.39697755404836,-20.9185653304629,1.76482786442294e-15,4.4263240399623e-13,25.6298036678871
"2887","1422672_at",-1.77831828496483,6.21300677469985,-20.7561862448904,2.06168650917092e-15,4.97935471344577e-13,25.4742066979935
"2628","1439183_at",-1.63803010548268,6.15824904423279,-20.6903472733648,2.19652963829357e-15,5.11556063261155e-13,25.4107741693742
"68","1448730_at",-1.6826132217528,7.26991472428592,-19.2756737538546,8.97417170824211e-15,2.01795081756713e-12,23.9977524478835
"1967","1440523_at",-1.90364591136091,6.44388463606577,-19.0694945929356,1.11029723209528e-14,2.41341608349778e-12,23.7834506902876
"847","1453275_at",-1.61858323380975,6.2084846645431,-17.4687562898437,6.23895977817709e-14,1.31239537785461e-11,22.0404045800085
"1502","1436717_x_at",2.4210841392048,11.5282876125635,17.208947304579,8.36509118087814e-14,1.70464873720332e-11,21.7434398254372
"2721","1422401_at",-1.71673787053907,6.96711860330637,-16.745594006692,1.42506491795354e-13,2.81601464544698e-11,21.2033917271348
"3383","1442339_at",-1.72401013008646,6.91856266265706,-16.6985250345854,1.5053860842959e-13,2.88724195755692e-11,21.1477665840965
"3331","1458000_at",-1.86837136501368,6.56157984638314,-16.6302987634001,1.63030414122157e-13,3.03748951568738e-11,21.0668832231304
"1869","1421460_at",-1.82274504062518,6.45510078326971,-16.4613433078031,1.98854577231167e-13,3.52618686416293e-11,20.8652736606344
"991","1455540_at",-1.84543828078075,7.07980509310401,-16.4561626707164,2.00075009927969e-13,3.52618686416293e-11,20.8590620477969
"247","1419082_at",-1.42304545078571,6.32053381790337,-16.3874974303197,2.17010649656525e-13,3.68714993601608e-11,20.7765638025331
"6311","1423494_at",-1.44213146500439,6.54296985825549,-16.3739832939642,2.2051655805034e-13,3.68714993601608e-11,20.7602902199891
"1385","1428062_at",-1.69409322400576,7.13480218084242,-16.1670873047353,2.82241521692099e-13,4.60124240738544e-11,20.5096176754084
"5639","1421370_a_at",-1.55097719925322,7.01590163273362,-15.8553923278181,4.11466833480472e-13,6.54432980762477e-11,20.1264572210669
"755","1422783_a_at",-2.16378102043362,7.30027177072522,-15.5612673608729,5.90690938302162e-13,9.17118002063904e-11,19.758661424414
